197174;JJ73147;1/11;F;NULL;;T;M
65633;JJ114437;1/1;S;NULL;;T;P
168448;JJ109842;1/42;S;A;;T;P
SBR/SH150001;2551KGB03;0006;B;P;;T;A
146796;JJ49773;1/2;M;M;;D;H.P.COMPRESSOR
148649;JJ115417;1/2;S;A;;D;COVER PLATE
157207;PEQB18D;2/1;S;A;;D;OPT PYROMETER
157817;01TC20151-04ND;1/1;S;A;;D;LPT HEATER UNIT.
160022;01TC20570-04;1/1;S;A;;D;HEATER TROLLEY
165493;CHA727-5001;1/2;M;A;;D;B/S ACTUATOR
167060;JJ73106;1/1;F;M;;D;L.P.TURBINE STATOR
167060;JJ73147;2/1;F;M;;D;L.P.TURBINE STATOR
167135;JJ49935;1/1;M;M;;D;H.P. COMPRESSOR
167141;JJ49781;1/29;M;M;;D;I.P.TURBINE ROTOR
167244;JJ49385;1/1;M;M;;D;I.P. COMPRESSOR
167254;JJ930348;1/19;S;P;;D;FLAMEHOLDER - OUTER
167255;JJ72972;1/1;F;M;;D;L.P.TURBINE ROTOR
167493;JJ930351;1/1;S;P;;D;FLAMEHOLDER -- INNER
181940;77751518;1/1;S;A;;D;213 CARD
183316;JJ113171;10/2;B;M;;D;TURBINE CASE
183316;JJ73106;3/1;B;M;;D;L.P.TURBINE STATOR
183316;RB199 KITSET;16/1;B;P;;D;RB199 KITSET
18461;754-1-32763-001;1/2;S;A;;D;PRT TRANSDUCER
184654;JJ111386;1/3;B;P;;D;WIRING HARNESS
2832;JJ113226;1/4;A;M;;D;L.P COMPRESSOR
18681;DRH1290MK3;3/2;S;A;;D;R/H F.C.U.
206058;JJ53604;1/4;M;P;;D;I.P.O.B.V.
20713;N300NH;2/1;B;A;;D;EUMS TAPE
2508;JJ49773;1/2;M;M;;D;H.P COMPRESSOR
28459;CHA729-6001;2/2;F;A;;D;N.C.U.
28512;PCU200;3/2;S;A;;D;M.F.C.U.
32504;CHA729-6001;1/1;F;A;;D;N.C.U.
32504;JJ54344;3/5;M;P;;D;A/S HOUSING.
34981;JJ113226;1/2;A;M;;D;L.P COMPRESSOR
39093;JJ109842;2/7;A;P;;D;STEPPED SEAL
4106;CHA726-5001;1/1;M;A;;D;T/R C.U.
50115;JJ113226;1/1;A;M;;D;L.P COMPRESSOR
5449;JJ72625;1/2;F;M;;D;L.P TURBINE STATOR.
60231;01TV30002-04;2/1;S;A;;D;OPT PYRO TEST SET
75253;CHA729-6001;1/2;F;A;;D;N.C.U.
76492;CUE410-1B1A;1/2;S;A;;D;MECU
8267;JJ49773;1/1;M;M;;D;H.P.COMPRESSOR
SBR/RH110038;RB199MK103;0006;B;M;;D;E.C.U.
SBR/SH110029;650-1-18630;0002;B;A;;D;TAPES.
SBR/SH110035;T450NH;0001;B;A;;D;TAPES.
SBR/SH150007;CHA727-5001;0026;M;A;;D;B/S ACTUATOR.
SBR/SI140003;DRH1290MK3;0003;S;A;;D;R/H.F.C.U
SBR/SR110034;77751518;0007;S;A;;D;CARD 213
SBR/SR110055;DRH1290MK3;0043;S;A;;D;R/H.F.C.U.
SBR/SR110057;JJ54674;0037;M;P;;D;SHROUD SEGMENT
SBR/SR143015;JJ113226;0002;A;M;;D;L.P.COMPRESSOR
SBR/SR110057;JJ54675;0042;M;P;;D;SHROUD SEGMENT
SBR/SR110059;DRH1290MK3;0043;S;A;;D;R/H.F.C.U.
SBR/SR110063;JJ54675;0029;M;P;;D;SHROUD SEGMENT
SBR/SR110063;JJ72522;0017;A;P;;D;BAL BLADE SET
SBR/SR110072;01TV18715-04;0015;S;A;;D;TEST SET
SBR/SR110072;CHA727-5001;0017;M;A;;D;B/S ACTUATOR
SBR/SR110077;DRH1290MK3;0005;S;A;;D;R/H F.C.U.
SBR/SR110077;JJ54675;0035;M;P;;D;SHROUD SEGMENT
SBR/SR110079;01TV30204-04;0007;S;A;;D;TEST SET.
SBR/SR110079;JJ54674;0031;M;P;;D;SHROUD SEGMENT
SBR/SR110081;DRH1290MK3;0026;S;A;;D;R/H F.C.U.
SBR/SR110090;CHA727-5001;0028;M;A;;D;B/S ACTUATOR
SBR/SR110094;01TV10096-04;0041;S;A;;D;TEST SET
SBR/SR110100;JJ54675;0002;M;P;;D;SHROUD SEGMENT
SBR/SR110103;DRH1290MK3;0001;S;A;;D;R/H F.C.U.
SBR/SR110104;JJ54675;0039;M;P;;D;SHROUD SEGMENT
SBR/SR110106;DRH1290MK3;0027;S;A;;D;R/H F.C.U.
SBR/SR110106;JJ54675;0017;M;P;;D;SHROUD SEGMENT
SBR/SR110106;JJ949087;0005;A;P;;D;VANE.
SBR/SR110107;JJ113171;0002;B;M;;D;TURBINE CASE
SBR/SR110108;JJ948927;0017;A;P;;D;VANES.
SBR/SR110108;JJ949085;0006;A;P;;D;VANE.
SBR/SR110111;01TV30002-04;0010;S;A;;D;TEST SET
SBR/SR110111;JJ930339;0002;A;P;;D;No 5 BRG DUCT.
SBR/SR110112;JJ54675;0001;M;P;;D;SHROUD SEGMENT
SBR/SR110114;JJ949025;0021;A;P;;D;VANE.
SBR/SR110117;JJ49385;0014;A;M;;D;I.P.COMPRESSOR
SBR/SR110117;JJ72632;0009;F;M;;D;EXHAUST DIFFUSER
SBR/SR110118;01TV30205-04;0016;S;A;;D;T/R TEST SET.
SBR/SR110121;JJ111968;0023;B;M;;D;TURBINE CASE
SBR/SR110121;JJ49385;0011;A;M;;D;I.P.COMPRESSOR
SBR/SR110122;77751956;0004;S;A;;D;CARD 203
SBR/SR110122;CHA727-5001;0039;M;A;;D;B/S ACTUATOR
SBR/SR110123;JJ948933;0004;A;P;;D;VANE.
SBR/SR110143;JJ49385;0005;A;M;;D;I.P COMPRESSOR.
SBR/SR110148;JJ108880;0010;B;M;;D;COMBUSTION CHAMBER
SBR/SR110148;JJ72632;0004;F;M;;D;EXHAUST DIFFUSER
SBR/SR110149;JJ109842;0004;A;P;;D;STEPPED SEAL
SBR/SR110150;JJ49625;0007;M;M;;D;BY PASS DUCT
SBR/SR110153;JJ108951;0002;A;M;;D;L.P COMPRESSOR
SBR/SR110158;JJ72632;0001;F;M;;D;EXHAUST DIFFUSER
SBR/SR110166;JJ113226;0004;A;M;;D;L.P COMPRESSOR
SBR/SR110166;JJ49625;0006;M;M;;D;BY PASS DUCT
SBR/SR110167;JJ72632;0005;F;M;;D;EXHAUST DIFFUSER
SBR/SR110170;CHA727-5001;0006;M;A;;D;B/S ACTUATOR
SBR/SR110171;JJ931146;0003;A;P;;D;R.C.A.T.
SBR/SR110174;JJ49385;0001;A;M;;D;I.P COMPRESSOR
SBR/SR140040;JJ72972;0005;F;M;;D;L.P.TURBINE ROTOR
SBR/SR140189;JJ949083;0009;A;P;;D;VANE
SBR/SR141001;JJ72632;0002;F;M;;D;EXHAUST DIFFUSER
SBR/SR141002;JJ49773;0004;M;M;;D;H.P.COMPRESSOR
SBR/SR141003;JJ49385;0005;A;M;;D;I.P COMPRESSOR
SBR/SR141003;JJ72625;0004;F;M;;D;L.P.TURBINE STATOR
SBR/SR141003;JJ72632;0009;F;M;;D;EXHAUST DIFFUSER
SBR/SR141004;JJ49385;0007;A;M;;D;I.P.COMPRESSOR
SBR/SR141005;JJ49773;0006;M;M;;D;H.P.COMPRESSOR
SBR/SR142001;JJ54344;0001;M;P;;D;A/S HOUSING
SBR/SR142004;JJ949065;0004;A;P;;D;VANE
SBR/SR142010;JJ949087;0003;A;P;;D;VANE
SBR/SR142055;DSD1294MK1;0004;S;A;;D;S.O.P.D.V.
SBR/SR142056;PCU200;0003;S;A;;D;M.F.C.U.
SBR/SR142062;CHA729-6001;0003;F;A;;D;N.C.U.
SBR/SR142066;JJ949087;0004;A;P;;D;VANE
SBR/SR142071;JJ54344;0009;M;P;;D;A/S HOUSING
SBR/SR142073;JJ72574;0007;A;P;;D;RING ASSY (INSTRUMENTED)
SBR/SR142097;JJ949086;0007;A;P;;D;L.P.T. VANE
SBR/SR143001;JJ113226;1005;A;M;;D;L.P.COMPRESSOR
SBR/SR142097;JJ949087;0010;A;P;;D;L.P.T. VANE
SBR/SR142098;CHA729-6001;0009;F;A;;D;N.C.U.
SBR/SR142109;JJ109842;0004;A;P;;D;STEPPED SEAL
SBR/SR142119;JJ54344;0005;M;P;;D;A/S HOUSING
SBR/SR142123;01TV30204-04;0003;S;A;;D;TEST SET & CABLES
SBR/SR142124;JJ72469;0001;A;P;;D;SEAL SEGMENT
SBR/SR142139;JJ949089;0006;A;P;;D;LPT VANE
SBR/SR142146;JJ72469;0010;A;P;;D;SEAL SEGMENT
SBR/SR142167;77751518;0007;S;A;;D;CARD 213
SBR/SR142169;JJ72469;0002;A;P;;D;SEAL SEGMENT
SBR/SR143000;JJ49773;0005;M;M;;D;H.P.COMPRESSOR
SBR/SR143009;JJ72625;0002;F;M;;D;L.P.TURBINE STATOR
SBR/SR143010;JJ49773;0001;M;M;;D;H.P COMPRESSOR
SBR/SR143011;JJ72625;0007;F;M;;D;L.P.TURBINE STATOR
SBR/SR143012;JJ108951;0009;A;M;;D;L.P.COMPRESSOR
SBR/SR143016;JJ49316;0007;M;M;;D;I.P.TURBINE ROTOR
SBR/SR143020;JJ72972;0002;F;M;;D;L.P.TURBINE ROTOR
SBR/SR143025;JJ72625;0010;F;M;;D;L.P.TURBINE STATOR
SBR/SR143027;JJ49316;0007;M;M;;D;I.P.TURBINE ROTOR
SBR/SR143027;JJ49773;0005;M;M;;D;H.P.COMPRESSOR
SBR/SR143029;JJ49316;0008;M;M;;D;I.P.TURBINE ROTOR
SBR/SR143029;JJ49385;0002;A;M;;D;I.P.COMPRESSOR
SBR/SR143029;JJ49773;0004;M;M;;D;H.P.COMPRESSOR
SBR/SR143030;JJ49316;0006;M;M;;D;I.P.TURBINE ROTOR.
SBR/SR143031;JJ49385;0002;A;M;;D;I.P.COMPRESSOR
SBR/SR143033;JJ49316;0005;M;M;;D;I.P.TURBINE ROTOR
SBR/SR143033;JJ49773;0002;M;M;;D;H.P.COMPRESSOR
SBR/SR143038;JJ72972;0003;F;M;;D;L.P.TURBINE ROTOR
SBR/SR143041;JJ113226;0002;A;M;;D;L.P COMPRESSOR
SBR/SR143043;JJ49316;0006;M;M;;D;I.P.TURBINE ROTOR
SBR/SR143053;JJ72625;0001;F;M;;D;L.P.TURBINE STATOR
SBR/SR143056;JJ72972;0009;F;M;;D;L.P.TURBINE ROTOR
SBR/SR150016;CHA727-5001;0048;M;A;;D;B/S ACTUATOR
SBR/SR150026;JJ54674;0007;M;P;;D;SHROUD SEGMENT
SBR/SR150027;CHA727-5001;0001;M;A;;D;B/S ACTUATOR
SBR/SR150027;JJ948933;0051;B;P;;D;VANE.
SBR/SR150037;JJ948929;0036;B;P;;D;VANE.
SBR/SR150045;JJ72522;0017;A;P;;D;BAL BLADE SET
SBR/SR150047;754-1-32763-001;0010;S;A;;D;PRT TRANSDUCER
SBR/SR150047;77752296;0019;S;A;;D;CARD 467
SBR/SR150048;DRH1290MK3;0011;S;A;;D;R/H F.C.U.
SBR/SR150050;01TV18762-04;0008;S;A;;D;TEST SET
SBR/SR150050;77753983;0017;S;A;;D;D.E.C.U. CARD 561.
SBR119409;JJ54674;0013;M;P;;D;SHROUD SEGMENT
SBR127255;77753951;0003;S;A;;D;CARD 560
SBR129115;852-50;0061;S;A;;D;TBT AMPLIFIER
SBR131202;77753951;0088;S;A;;D;CARD 560
SBR131202;CHA727-5001;0050;M;A;;D;B/S ACTUATOR
SBR135093;JJ54674;0021;M;P;;D;SHROUD SEGMENT
SBS/SH140007;H300NH;0001;B;A;;D;EUMS TAPES
SBS/SR142210;CHA729-6001;0003;F;A;;D;N.C.U.
SBS/SR142215;77752510;0008;S;A;;D;CARD 436
SBS/SR142220;JJ949085;0010;A;P;;D;LPT VANE
SBS/SR142227;01TV30013-04;0002;S;A;;D;NL TEST SET
